Date,Open,High,Low,Close,Volume,Adj Close
2013-08-19,59.39,63.90,52.53,55.53,319600,55.079
2013-08-12,42.06,59.97,41.03,59.50,419800,59.017
2013-08-05,41.70,42.98,39.80,42.90,59400,42.552
2013-07-29,42.41,43.15,41.01,41.76,14800,41.421
2013-07-22,41.95,43.49,40.50,42.98,38600,42.631
2013-07-15,42.99,43.50,37.12,41.50,88000,41.163
2013-07-08,44.96,45.55,41.06,42.42,73400,42.075
2013-07-01,36.03,46.62,34.14,43.70,448100,43.345
2013-06-24,28.23,39.49,28.07,36.26,255900,35.965
2013-06-17,27.24,28.69,26.73,28.36,71100,28.13
2013-06-10,29.98,30.43,27.10,27.58,44100,27.356
2013-06-03,30.51,30.67,27.67,29.98,41700,29.736
2013-05-27,32.00,32.20,30.00,30.21,35300,29.965
2013-05-20,32.45,33.30,31.59,31.62,68900,31.363
2013-05-13,34.11,34.30,31.92,32.80,39500,31.849
2013-05-06,34.51,34.99,34.12,34.35,16700,32.665
2013-04-29,33.96,34.76,33.18,34.51,15900,32.817
2013-04-22,33.10,34.97,32.61,33.96,32000,32.294
2013-04-15,36.40,36.97,32.99,32.99,43400,31.372
2013-04-08,38.09,41.32,35.83,37.99,84300,36.126
2013-04-01,38.01,38.83,37.00,38.19,21500,36.317
2013-03-25,39.89,39.90,37.50,38.34,69400,36.459
2013-03-18,39.29,41.00,38.10,39.20,39700,37.277
2013-03-11,40.39,40.39,39.25,39.87,19900,37.914
2013-03-04,40.06,40.60,39.40,39.85,24100,37.895
2013-02-25,41.14,41.68,39.93,40.25,49400,38.276
2013-02-18,39.50,42.70,38.51,41.05,233400,39.036
2013-02-11,37.20,39.76,36.66,38.97,144000,37.058
2013-02-04,38.82,38.87,36.25,37.10,94600,35.28
2013-01-28,40.07,40.57,38.22,38.40,102600,36.516
2013-01-21,40.50,41.27,39.30,40.08,137400,38.114
2013-01-14,38.39,40.79,38.39,40.00,163200,38.038
2013-01-07,37.47,38.50,37.10,38.32,55700,36.44
2012-12-31,37.47,37.47,37.47,37.47,000,35.632
2012-12-24,37.30,37.60,36.73,37.47,900,35.632
2012-12-17,37.22,38.38,36.62,37.22,13800,35.394
2012-12-10,37.36,39.02,36.93,37.21,35900,35.385
2012-12-03,35.01,37.59,35.00,37.38,800,35.546
2012-11-26,35.99,36.00,34.60,35.55,13500,33.806
2012-11-19,37.98,37.98,32.46,36.00,1000,34.234
